DIA
V
GS
MMM
IBM
BA
UTX
HD
UNH
CVX
TRV
DIS
JNJ
NKE
MCD
XOM
PG
CAT
WMT
AXP
DD
JPM
MRK
VZ
MSFT
KO
INTC
PFE
T
CSCO
GE
