QQQ
AMZN 
CMCSA 
SBUX 
PCLN 
FOXA 
DTV 
LBTYK 
NFLX 
FOX 
TSLA 
VIAB 
CMCSK 
MAR 
SIRI 
ORLY 
ROST 
CHTR 
DISH 
DLTR 
WYNN 
BBBY 
LBTYA 
QVCA 
TSCO 
TRIP 
SPLS 
GRMN 
DISCK 
LMCK 
MAT 
LVNTA 
DISCA 
LMCA 
COST 
MDLZ 
KRFT 
MNST 
WFM 
GMCR 
GILD 
AMGN 
CELG 
BIIB 
ESRX 
REGN 
ALXN 
VRTX 
ILMN 
CERN 
MYL 
ISRG 
HSIC 
CTRX 
AAL 
PCAR 
FAST 
VRSK 
SRCL 
CHRW 
EXPD 
AAPL 
MSFT 
GOOG 
FB 
INTC 
GOOGL 
CSCO 
QCOM 
EBAY 
TXN 
BIDU 
ADP 
YHOO 
ADBE 
CTSH 
MU 
AMAT 
AVGO 
INTU 
WDC 
BRCM 
STX 
NXPI 
FISV 
ADI 
PAYX 
EA 
SYMC 
SNDK 
ATVI 
CHKP 
CA 
ADSK 
LRCX 
EQIX 
AKAM 
NTAP 
NVDA 
LLTC 
ALTR 
XLNX 
KLAC 
CTXS 
SIAL 
SBAC 
VOD 
VIP 
