SPY
AAPL
XOM
MSFT
JNJ
BRK.B
WFC
GE
PG
JPM
PFE
CVX
VZ
T
BAC
MRK
INTC
KO
DIS
FB
GOOG
GOOGL
GILD
C
CMCSA
CSCO
PEP
IBM
HD
AMZN
ORCL
WMT
V
PM
QCOM
AMGN
CVS
SLB
UNP
MO
MMM
MDT
UNH
UTX
BMY
BA
ABBV
BIIB
CELG
MCD
MA
COP
HON
USB
ACT
AIG
GS
HPQ
UPS
KMI
LOW
TWX
DD
ABT
AGN
LLY
AXP
WBA
SBUX
OXY
COST
FOXA
NKE
EBAY
ESRX
F
TXN
MDLZ
MON
SPG
CL
EMC
MET
PCLN
DUK
DOW
ACN
MS
DHR
EOG
CAT
LMT
MCK
TMO
GM
BLK
PNC
TGT
TJX
FDX
NEE
BK
COF
APC
DTV
D
ADP
GD
PSX
TWC
SO
EMR
KMB
YHOO
ANTM
LYB
PX
CRM
CTSH
DAL
BAX
ACE
AMT
PRU
HAL
KRFT
ADBE
CSX
ITW
ALXN
TRV
KR
MU
ETN
NOC
NSC
RTN
AET
SCHW
WMB
YUM
PPG
GLW
DE
STT
ADM
GIS
JCI
APD
ECL
AMAT
LUV
PCP
CI
REGN
ALL
CCI
CME
MMC
PSA
MPC
VLO
AEP
EXC
AVGO
TEL
BDX
CAH
SYK
VRTX
AFL
AON
BBT
DFS
EQR
MHFI
BHI
CBS
NFLX
PCG
INTU
AMP
HCN
ICE
APA
DVN
VFC
VIAB
SRE
IP
SHW
BRCM
WDC
CMI
HUM
CB
VTR
PXD
SE
LO
SYY
DLPH
PPL
CTL
PCAR
WM
CERN
ZTS
AVB
BXP
PLD
STI
TROW
NOV
RAI
LB
M
EIX
PEG
FCX
STX
ABC
BSX
HCA
MYL
PRGO
ZMH
BEN
HCP
VNO
HES
MRO
MJN
WFM
AZO
CMG
DG
ORLY
ROST
ED
AA
ADI
ADS
APH
FIS
FISV
SNDK
SYMC
IR
PH
TYC
ISRG
STJ
GGP
HIG
HST
MCO
WY
NBL
EL
STZ
CCL
OMC
NU
XEL
MOS
SIAL
EA
PAYX
ROK
ROP
FITB
IVZ
MTB
K
MNST
MAR
WHR
DTE
ETR
FE
LVLT
CF
NUE
MSI
XRX
GWW
NLSN
SWK
ENDP
EW
HSP
ESS
LNC
NTRS
PFG
PGR
BF.B
CAG
CLX
DPS
GMCR
HSY
BBBY
DLTR
GPC
HOT
KMX
KORS
NI
NEM
ADSK
AKAM
LRCX
RHT
AME
DOV
KSU
PNR
TXT
A
BCR
CFN
DVA
MNK
KEY
L
RF
EQT
BWA
HOG
KSS
RCL
UA
WYNN
WEC
BLL
EMN
VMC
ALTR
CA
CTXS
KLAC
LLTC
NTAP
NVDA
XLNX
CHRW
COL
EFX
FAST
LLL
PLL
SRCL
DGX
AMG
KIM
MAC
CHK
COG
TSO
SJM
TAP
TSN
BBY
COH
GPS
JWN
MHK
NWL
SPLS
TSCO
WYN
AEE
CMS
CNP
NRG
FMC
IFF
MLM
MWV
SEE
CSC
FFIV
JNPR
MCHP
WU
EXPD
FLR
MAS
RHI
RSG
SNA
URI
LH
UHS
VAR
WAT
CBG
HBAN
NAVI
UNM
XL
CAM
FTI
MUR
OKE
RRC
SWN
XEC
CCE
MKC
DHI
EXPE
HAR
HRB
IPG
LEN
MAT
PVH
TIF
TRIP
AES
PNW
POM
SCG
FTR
ARG
HRS
TDC
VRSN
ADT
CTAS
FLS
XYL
XRAY
CINF
CMA
ETFC
IRM
LUK
PCL
TMK
CNX
ESV
HP
CPB
HRL
DISCK
DRI
FDO
GCI
GRMN
GT
HAS
NWSA
PETM
PHM
RL
SNI
GAS
TEG
WIN
AVY
FLIR
TSS
ALLE
DNB
JEC
PWR
R
PKI
AIV
HCBK
LM
NDAQ
PBCT
ZION
NE
RIG
AN
DISCA
LEG
TE
ATI
OI
FSLR
JOY
PBI
PDCO
THC
AIZ
GNW
DNR
NBR
NFX
QEP
AVP
CVC
FOSL
GME
URBN
DO
